epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00842,1.2322,1.56112,1.2783,0.66178,0.59126,0.66982,0.50307,1.07803,1.01796,1.11272,8.33e-06,8.33e-06,8.33e-06
2,7.94734,1.19636,1.33034,1.2336,0.7108,0.59002,0.67772,0.50821,1.0666,0.98595,1.10356,1.72609e-05,1.72609e-05,1.72609e-05
3,10.7568,1.16471,1.31881,1.2205,0.73051,0.59593,0.68604,0.51495,1.06186,0.97694,1.09952,2.55636e-05,2.55636e-05,2.55636e-05
4,13.6405,1.19046,1.27196,1.21396,0.76232,0.60709,0.69754,0.52493,1.06325,0.96608,1.09727,3.32379e-05,3.32379e-05,3.32379e-05
5,16.3731,1.19314,1.25954,1.22133,0.76078,0.60636,0.70461,0.53033,1.05325,0.9601,1.09266,4.02839e-05,4.02839e-05,4.02839e-05
6,19.0618,1.12934,1.24729,1.20407,0.75288,0.64292,0.71557,0.53357,1.04211,0.96098,1.08476,4.67016e-05,4.67016e-05,4.67016e-05
7,21.7305,1.11284,1.16249,1.20033,0.77959,0.63058,0.72199,0.53919,1.03791,0.95463,1.08042,5.24909e-05,5.24909e-05,5.24909e-05
8,24.6529,1.12905,1.09826,1.17944,0.73916,0.64794,0.732,0.54924,1.02887,0.9267,1.07525,5.76519e-05,5.76519e-05,5.76519e-05
9,27.3056,1.09964,1.11005,1.19006,0.73924,0.67183,0.74469,0.55855,1.01913,0.89408,1.06717,6.21846e-05,6.21846e-05,6.21846e-05
10,29.9918,1.09246,1.03054,1.16495,0.73109,0.68077,0.7481,0.56516,1.01065,0.87034,1.06174,6.6089e-05,6.6089e-05,6.6089e-05
11,32.8041,1.08389,1.05956,1.15367,0.74643,0.67236,0.75191,0.57624,0.99878,0.84076,1.05663,6.93651e-05,6.93651e-05,6.93651e-05
12,35.3903,1.12234,1.06273,1.17085,0.79868,0.65868,0.75559,0.57963,0.987,0.82293,1.0526,7.20129e-05,7.20129e-05,7.20129e-05
13,38.0895,1.07033,1.04999,1.16957,0.7913,0.67885,0.76022,0.58814,0.97594,0.80599,1.04664,7.1876e-05,7.1876e-05,7.1876e-05
14,40.9333,1.07561,1.05646,1.15348,0.81448,0.69125,0.76634,0.59673,0.96293,0.78849,1.03941,6.7949e-05,6.7949e-05,6.7949e-05
15,43.66,1.11146,1.08082,1.16818,0.81756,0.68859,0.769,0.60291,0.95461,0.7742,1.03459,6.4022e-05,6.4022e-05,6.4022e-05
16,46.2451,1.05058,0.98884,1.13713,0.83696,0.68915,0.78169,0.60955,0.95072,0.765,1.03309,6.0095e-05,6.0095e-05,6.0095e-05
17,49.0678,1.05039,1.01651,1.12049,0.8222,0.69162,0.78532,0.61112,0.94886,0.75673,1.03326,5.6168e-05,5.6168e-05,5.6168e-05
18,51.7109,1.01878,0.9601,1.12534,0.78447,0.72269,0.78996,0.61315,0.94167,0.74526,1.03032,5.2241e-05,5.2241e-05,5.2241e-05
19,54.2977,1.01053,0.91988,1.12018,0.77148,0.72761,0.79318,0.61799,0.93153,0.73545,1.02629,4.8314e-05,4.8314e-05,4.8314e-05
20,57.0698,1.05223,0.98959,1.14463,0.79695,0.72275,0.79727,0.62302,0.92106,0.72347,1.02105,4.4387e-05,4.4387e-05,4.4387e-05
21,84.5213,1.063,1.03888,1.12554,0.78154,0.72664,0.79528,0.62365,0.91838,0.72079,1.01522,4.046e-05,4.046e-05,4.046e-05
22,87.0748,1.04816,1.00666,1.10312,0.77777,0.73366,0.79542,0.6244,0.923,0.72071,1.01355,3.6533e-05,3.6533e-05,3.6533e-05
23,89.6373,1.05,0.99275,1.11515,0.76897,0.73076,0.79057,0.62264,0.9274,0.72192,1.01454,3.2606e-05,3.2606e-05,3.2606e-05
24,92.4733,1.02851,0.92916,1.1092,0.76646,0.73027,0.79129,0.62075,0.92956,0.72129,1.01468,2.8679e-05,2.8679e-05,2.8679e-05
25,95.0183,1.01445,0.87946,1.07169,0.76102,0.7307,0.7914,0.62239,0.93016,0.72287,1.01482,2.4752e-05,2.4752e-05,2.4752e-05
26,97.5782,1.01606,0.89764,1.11445,0.7582,0.72614,0.79233,0.62174,0.92535,0.71858,1.01178,2.0825e-05,2.0825e-05,2.0825e-05
27,100.43,0.98956,0.84846,1.0794,0.76419,0.72324,0.79268,0.62196,0.92314,0.71518,1.01038,1.6898e-05,1.6898e-05,1.6898e-05
28,102.972,1.0235,0.89426,1.12444,0.77272,0.72285,0.80493,0.625,0.92067,0.71281,1.00947,1.2971e-05,1.2971e-05,1.2971e-05
29,105.488,1.0091,0.88051,1.07876,0.77919,0.72594,0.7968,0.62738,0.92069,0.7148,1.00894,9.044e-06,9.044e-06,9.044e-06
30,108.311,0.95046,0.82067,1.06778,0.78457,0.72242,0.7953,0.62763,0.91907,0.71535,1.00774,5.117e-06,5.117e-06,5.117e-06
