epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8996,1.50616,1.98947,0.0102,0.65983,0.56326,0.64865,0.48335,1.33612,1.33897,0.00941,8.33e-06,8.33e-06,8.33e-06
2,8.44331,1.48989,1.75824,0.0095,0.66181,0.56659,0.66707,0.49883,1.32695,1.32613,0.00929,1.72609e-05,1.72609e-05,1.72609e-05
3,11.8563,1.46419,1.70964,0.00979,0.68231,0.56439,0.66397,0.49538,1.3228,1.31796,0.00925,2.55636e-05,2.55636e-05,2.55636e-05
4,15.433,1.532,1.71325,0.00917,0.61766,0.6144,0.67384,0.50486,1.32032,1.30152,0.00925,3.32379e-05,3.32379e-05,3.32379e-05
5,18.7612,1.49662,1.73325,0.00953,0.63729,0.63913,0.68044,0.50965,1.31647,1.2813,0.00921,4.02839e-05,4.02839e-05,4.02839e-05
6,22.071,1.43826,1.69123,0.00968,0.65244,0.64469,0.67996,0.51082,1.31749,1.25805,0.00911,4.67016e-05,4.67016e-05,4.67016e-05
7,25.5395,1.40277,1.53339,0.00967,0.66777,0.64332,0.69127,0.52,1.31342,1.24324,0.00907,5.24909e-05,5.24909e-05,5.24909e-05
8,28.8561,1.46796,1.55858,0.00917,0.67907,0.65312,0.69559,0.52387,1.31981,1.21467,0.00918,5.76519e-05,5.76519e-05,5.76519e-05
9,32.2672,1.4229,1.48929,0.00989,0.69532,0.65366,0.70384,0.53247,1.31371,1.1983,0.00904,6.21846e-05,6.21846e-05,6.21846e-05
10,35.5091,1.39394,1.45688,0.00868,0.68882,0.66556,0.70662,0.53434,1.31114,1.17668,0.00905,6.6089e-05,6.6089e-05,6.6089e-05
11,38.758,1.41305,1.44564,0.00924,0.70118,0.64532,0.71323,0.53448,1.3029,1.1607,0.00903,6.93651e-05,6.93651e-05,6.93651e-05
12,42.1795,1.48149,1.53809,0.00887,0.67975,0.66787,0.71531,0.5433,1.29384,1.15154,0.00882,7.20129e-05,7.20129e-05,7.20129e-05
13,45.3862,1.38108,1.46872,0.00955,0.71019,0.6465,0.72163,0.5486,1.28906,1.13341,0.00884,7.1876e-05,7.1876e-05,7.1876e-05
14,48.5898,1.42732,1.512,0.00894,0.69749,0.65936,0.72506,0.55506,1.2814,1.12231,0.00882,6.7949e-05,6.7949e-05,6.7949e-05
15,51.934,1.46713,1.55046,0.00925,0.70929,0.67236,0.72661,0.55507,1.2764,1.10778,0.00878,6.4022e-05,6.4022e-05,6.4022e-05
16,55.1412,1.41843,1.47481,0.00911,0.7439,0.66687,0.73235,0.56031,1.27123,1.09702,0.00868,6.0095e-05,6.0095e-05,6.0095e-05
17,58.5917,1.43964,1.47209,0.0082,0.76364,0.65394,0.73262,0.56564,1.26335,1.08432,0.00858,5.6168e-05,5.6168e-05,5.6168e-05
18,61.8659,1.38297,1.37673,0.00871,0.75559,0.65806,0.73735,0.57094,1.25593,1.07947,0.00851,5.2241e-05,5.2241e-05,5.2241e-05
19,65.0355,1.39957,1.32316,0.00835,0.72535,0.67515,0.73965,0.57193,1.25692,1.07495,0.00854,4.8314e-05,4.8314e-05,4.8314e-05
20,68.5101,1.40384,1.43662,0.0091,0.74247,0.67198,0.74148,0.5746,1.25711,1.06372,0.00855,4.4387e-05,4.4387e-05,4.4387e-05
21,96.8717,1.43245,1.37012,0.0097,0.73535,0.67859,0.74341,0.57155,1.24471,1.06882,0.00843,4.046e-05,4.046e-05,4.046e-05
22,100.069,1.40996,1.4251,0.00915,0.71835,0.69485,0.74769,0.57013,1.23826,1.07388,0.00829,3.6533e-05,3.6533e-05,3.6533e-05
23,103.351,1.40127,1.37259,0.00958,0.82652,0.62802,0.75024,0.56955,1.24374,1.07741,0.00843,3.2606e-05,3.2606e-05,3.2606e-05
24,106.554,1.39942,1.36474,0.00953,0.75777,0.65719,0.75137,0.56585,1.25081,1.08079,0.00856,2.8679e-05,2.8679e-05,2.8679e-05
25,109.948,1.41788,1.32556,0.00906,0.76274,0.67245,0.75131,0.56685,1.25687,1.07489,0.00867,2.4752e-05,2.4752e-05,2.4752e-05
26,113.273,1.39284,1.26958,0.01001,0.78328,0.65715,0.75208,0.56726,1.24941,1.07922,0.00866,2.0825e-05,2.0825e-05,2.0825e-05
27,116.588,1.31177,1.24525,0.00908,0.77685,0.67069,0.75105,0.56482,1.24679,1.08104,0.00862,1.6898e-05,1.6898e-05,1.6898e-05
28,120.411,1.37138,1.2778,0.00995,0.77613,0.66765,0.74925,0.56172,1.24421,1.08367,0.00862,1.2971e-05,1.2971e-05,1.2971e-05
29,124.762,1.38285,1.20992,0.00895,0.76974,0.66837,0.75156,0.56593,1.24288,1.09111,0.00852,9.044e-06,9.044e-06,9.044e-06
30,129.063,1.31241,1.2115,0.00859,0.77148,0.66794,0.75116,0.56573,1.24492,1.08666,0.00848,5.117e-06,5.117e-06,5.117e-06
